[0]	validate-mlogloss:1.33143	train-mlogloss:1.33189
[1]	validate-mlogloss:1.27858	train-mlogloss:1.28079
[2]	validate-mlogloss:1.23059	train-mlogloss:1.23252
[3]	validate-mlogloss:1.18730	train-mlogloss:1.18768
[4]	validate-mlogloss:1.14196	train-mlogloss:1.14451
[5]	validate-mlogloss:1.09922	train-mlogloss:1.10384
[6]	validate-mlogloss:1.06052	train-mlogloss:1.06468
[7]	validate-mlogloss:1.02390	train-mlogloss:1.02783
[8]	validate-mlogloss:0.98856	train-mlogloss:0.99228
[9]	validate-mlogloss:0.95427	train-mlogloss:0.95805
[10]	validate-mlogloss:0.92565	train-mlogloss:0.92668
[11]	validate-mlogloss:0.89359	train-mlogloss:0.89557
[12]	validate-mlogloss:0.86275	train-mlogloss:0.86629
[13]	validate-mlogloss:0.83405	train-mlogloss:0.83757
[14]	validate-mlogloss:0.80688	train-mlogloss:0.81048
[15]	validate-mlogloss:0.78040	train-mlogloss:0.78395
[16]	validate-mlogloss:0.75578	train-mlogloss:0.75935
[17]	validate-mlogloss:0.73341	train-mlogloss:0.73529
[18]	validate-mlogloss:0.70962	train-mlogloss:0.71157
[19]	validate-mlogloss:0.68960	train-mlogloss:0.68958
[20]	validate-mlogloss:0.66785	train-mlogloss:0.66821
[21]	validate-mlogloss:0.64670	train-mlogloss:0.64772
[22]	validate-mlogloss:0.62678	train-mlogloss:0.62796
[23]	validate-mlogloss:0.60756	train-mlogloss:0.60883
[24]	validate-mlogloss:0.58936	train-mlogloss:0.59089
[25]	validate-mlogloss:0.57198	train-mlogloss:0.57318
[26]	validate-mlogloss:0.55445	train-mlogloss:0.55611
[27]	validate-mlogloss:0.53775	train-mlogloss:0.53968
[28]	validate-mlogloss:0.52154	train-mlogloss:0.52368
[29]	validate-mlogloss:0.50561	train-mlogloss:0.50811
[30]	validate-mlogloss:0.49061	train-mlogloss:0.49360
[31]	validate-mlogloss:0.47613	train-mlogloss:0.47912
[32]	validate-mlogloss:0.46142	train-mlogloss:0.46488
[33]	validate-mlogloss:0.44758	train-mlogloss:0.45157
[34]	validate-mlogloss:0.43393	train-mlogloss:0.43805
[35]	validate-mlogloss:0.42102	train-mlogloss:0.42562
[36]	validate-mlogloss:0.40879	train-mlogloss:0.41327
[37]	validate-mlogloss:0.39681	train-mlogloss:0.40167
[38]	validate-mlogloss:0.38585	train-mlogloss:0.39038
[39]	validate-mlogloss:0.37438	train-mlogloss:0.37948
[40]	validate-mlogloss:0.36390	train-mlogloss:0.36898
[41]	validate-mlogloss:0.35331	train-mlogloss:0.35837
[42]	validate-mlogloss:0.34308	train-mlogloss:0.34841
[43]	validate-mlogloss:0.33318	train-mlogloss:0.33858
[44]	validate-mlogloss:0.32350	train-mlogloss:0.32905
