[0]	validate-mlogloss:1.33153	train-mlogloss:1.33194
[1]	validate-mlogloss:1.28139	train-mlogloss:1.28063
[2]	validate-mlogloss:1.23263	train-mlogloss:1.23275
[3]	validate-mlogloss:1.18692	train-mlogloss:1.18776
[4]	validate-mlogloss:1.14260	train-mlogloss:1.14564
[5]	validate-mlogloss:1.10328	train-mlogloss:1.10457
[6]	validate-mlogloss:1.06257	train-mlogloss:1.06524
[7]	validate-mlogloss:1.02466	train-mlogloss:1.02823
[8]	validate-mlogloss:0.99036	train-mlogloss:0.99288
[9]	validate-mlogloss:0.95500	train-mlogloss:0.95905
[10]	validate-mlogloss:0.92306	train-mlogloss:0.92694
[11]	validate-mlogloss:0.89348	train-mlogloss:0.89594
[12]	validate-mlogloss:0.86295	train-mlogloss:0.86619
[13]	validate-mlogloss:0.83410	train-mlogloss:0.83807
[14]	validate-mlogloss:0.80709	train-mlogloss:0.81103
[15]	validate-mlogloss:0.78123	train-mlogloss:0.78569
[16]	validate-mlogloss:0.75797	train-mlogloss:0.76160
[17]	validate-mlogloss:0.73397	train-mlogloss:0.73784
[18]	validate-mlogloss:0.71108	train-mlogloss:0.71484
[19]	validate-mlogloss:0.68940	train-mlogloss:0.69299
[20]	validate-mlogloss:0.66909	train-mlogloss:0.67221
[21]	validate-mlogloss:0.64832	train-mlogloss:0.65176
[22]	validate-mlogloss:0.62883	train-mlogloss:0.63195
[23]	validate-mlogloss:0.61123	train-mlogloss:0.61307
[24]	validate-mlogloss:0.59403	train-mlogloss:0.59491
[25]	validate-mlogloss:0.57663	train-mlogloss:0.57725
[26]	validate-mlogloss:0.55952	train-mlogloss:0.56053
[27]	validate-mlogloss:0.54212	train-mlogloss:0.54416
[28]	validate-mlogloss:0.52586	train-mlogloss:0.52790
[29]	validate-mlogloss:0.51097	train-mlogloss:0.51238
[30]	validate-mlogloss:0.49612	train-mlogloss:0.49753
[31]	validate-mlogloss:0.48182	train-mlogloss:0.48352
[32]	validate-mlogloss:0.46761	train-mlogloss:0.46977
[33]	validate-mlogloss:0.45523	train-mlogloss:0.45624
[34]	validate-mlogloss:0.44191	train-mlogloss:0.44320
[35]	validate-mlogloss:0.43049	train-mlogloss:0.43111
[36]	validate-mlogloss:0.41770	train-mlogloss:0.41884
[37]	validate-mlogloss:0.40501	train-mlogloss:0.40708
[38]	validate-mlogloss:0.39310	train-mlogloss:0.39577
[39]	validate-mlogloss:0.38298	train-mlogloss:0.38513
[40]	validate-mlogloss:0.37191	train-mlogloss:0.37490
[41]	validate-mlogloss:0.36182	train-mlogloss:0.36476
[42]	validate-mlogloss:0.35134	train-mlogloss:0.35479
[43]	validate-mlogloss:0.34208	train-mlogloss:0.34515
[44]	validate-mlogloss:0.33248	train-mlogloss:0.33581
[45]	validate-mlogloss:0.32306	train-mlogloss:0.32688
[46]	validate-mlogloss:0.31410	train-mlogloss:0.31833
[47]	validate-mlogloss:0.30622	train-mlogloss:0.30993
[48]	validate-mlogloss:0.29732	train-mlogloss:0.30157
[49]	validate-mlogloss:0.28961	train-mlogloss:0.29354
[50]	validate-mlogloss:0.28122	train-mlogloss:0.28577
[51]	validate-mlogloss:0.27353	train-mlogloss:0.27841
[52]	validate-mlogloss:0.26573	train-mlogloss:0.27104
[53]	validate-mlogloss:0.25906	train-mlogloss:0.26412
[54]	validate-mlogloss:0.25176	train-mlogloss:0.25729
[55]	validate-mlogloss:0.24484	train-mlogloss:0.25058
[56]	validate-mlogloss:0.23781	train-mlogloss:0.24411
[57]	validate-mlogloss:0.23163	train-mlogloss:0.23777
[58]	validate-mlogloss:0.22566	train-mlogloss:0.23165
[59]	validate-mlogloss:0.21985	train-mlogloss:0.22559
[60]	validate-mlogloss:0.21393	train-mlogloss:0.21984
[61]	validate-mlogloss:0.20781	train-mlogloss:0.21426
[62]	validate-mlogloss:0.20238	train-mlogloss:0.20871
[63]	validate-mlogloss:0.19732	train-mlogloss:0.20361
[64]	validate-mlogloss:0.19189	train-mlogloss:0.19867
[65]	validate-mlogloss:0.18651	train-mlogloss:0.19354
[66]	validate-mlogloss:0.18156	train-mlogloss:0.18877
[67]	validate-mlogloss:0.17677	train-mlogloss:0.18419
[68]	validate-mlogloss:0.17203	train-mlogloss:0.17963
[69]	validate-mlogloss:0.16731	train-mlogloss:0.17541
[70]	validate-mlogloss:0.16313	train-mlogloss:0.17105
[71]	validate-mlogloss:0.15889	train-mlogloss:0.16682
[72]	validate-mlogloss:0.15452	train-mlogloss:0.16280
[73]	validate-mlogloss:0.15032	train-mlogloss:0.15898
[74]	validate-mlogloss:0.14650	train-mlogloss:0.15535
[75]	validate-mlogloss:0.14291	train-mlogloss:0.15178
[76]	validate-mlogloss:0.13895	train-mlogloss:0.14820
[77]	validate-mlogloss:0.13562	train-mlogloss:0.14464
[78]	validate-mlogloss:0.13238	train-mlogloss:0.14136
[79]	validate-mlogloss:0.12938	train-mlogloss:0.13810
[80]	validate-mlogloss:0.12637	train-mlogloss:0.13499
[81]	validate-mlogloss:0.12324	train-mlogloss:0.13177
[82]	validate-mlogloss:0.11997	train-mlogloss:0.12883
[83]	validate-mlogloss:0.11712	train-mlogloss:0.12597
[84]	validate-mlogloss:0.11402	train-mlogloss:0.12317
[85]	validate-mlogloss:0.11094	train-mlogloss:0.12039
[86]	validate-mlogloss:0.10856	train-mlogloss:0.11770
[87]	validate-mlogloss:0.10580	train-mlogloss:0.11512
[88]	validate-mlogloss:0.10343	train-mlogloss:0.11264
[89]	validate-mlogloss:0.10126	train-mlogloss:0.11019
[90]	validate-mlogloss:0.09876	train-mlogloss:0.10783
[91]	validate-mlogloss:0.09633	train-mlogloss:0.10532
[92]	validate-mlogloss:0.09432	train-mlogloss:0.10288
[93]	validate-mlogloss:0.09198	train-mlogloss:0.10063
[94]	validate-mlogloss:0.08958	train-mlogloss:0.09824
[95]	validate-mlogloss:0.08735	train-mlogloss:0.09614
[96]	validate-mlogloss:0.08525	train-mlogloss:0.09397
[97]	validate-mlogloss:0.08334	train-mlogloss:0.09199
[98]	validate-mlogloss:0.08161	train-mlogloss:0.09013
[99]	validate-mlogloss:0.07941	train-mlogloss:0.08825
[100]	validate-mlogloss:0.07727	train-mlogloss:0.08649
[101]	validate-mlogloss:0.07543	train-mlogloss:0.08465
[102]	validate-mlogloss:0.07395	train-mlogloss:0.08299
[103]	validate-mlogloss:0.07222	train-mlogloss:0.08141
[104]	validate-mlogloss:0.07060	train-mlogloss:0.07971
[105]	validate-mlogloss:0.06913	train-mlogloss:0.07799
[106]	validate-mlogloss:0.06766	train-mlogloss:0.07644
[107]	validate-mlogloss:0.06620	train-mlogloss:0.07495
[108]	validate-mlogloss:0.06492	train-mlogloss:0.07339
[109]	validate-mlogloss:0.06329	train-mlogloss:0.07178
[110]	validate-mlogloss:0.06196	train-mlogloss:0.07037
[111]	validate-mlogloss:0.06051	train-mlogloss:0.06888
[112]	validate-mlogloss:0.05901	train-mlogloss:0.06750
[113]	validate-mlogloss:0.05763	train-mlogloss:0.06617
[114]	validate-mlogloss:0.05659	train-mlogloss:0.06500
[115]	validate-mlogloss:0.05513	train-mlogloss:0.06375
[116]	validate-mlogloss:0.05403	train-mlogloss:0.06249
[117]	validate-mlogloss:0.05304	train-mlogloss:0.06122
[118]	validate-mlogloss:0.05177	train-mlogloss:0.06007
[119]	validate-mlogloss:0.05076	train-mlogloss:0.05896
[120]	validate-mlogloss:0.04961	train-mlogloss:0.05780
[121]	validate-mlogloss:0.04837	train-mlogloss:0.05682
[122]	validate-mlogloss:0.04735	train-mlogloss:0.05575
[123]	validate-mlogloss:0.04658	train-mlogloss:0.05474
[124]	validate-mlogloss:0.04566	train-mlogloss:0.05391
[125]	validate-mlogloss:0.04466	train-mlogloss:0.05302
[126]	validate-mlogloss:0.04372	train-mlogloss:0.05220
[127]	validate-mlogloss:0.04271	train-mlogloss:0.05136
[128]	validate-mlogloss:0.04178	train-mlogloss:0.05046
[129]	validate-mlogloss:0.04090	train-mlogloss:0.04959
[130]	validate-mlogloss:0.03997	train-mlogloss:0.04863
[131]	validate-mlogloss:0.03941	train-mlogloss:0.04784
[132]	validate-mlogloss:0.03849	train-mlogloss:0.04713
[133]	validate-mlogloss:0.03781	train-mlogloss:0.04633
[134]	validate-mlogloss:0.03706	train-mlogloss:0.04553
[135]	validate-mlogloss:0.03619	train-mlogloss:0.04477
[136]	validate-mlogloss:0.03553	train-mlogloss:0.04397
[137]	validate-mlogloss:0.03499	train-mlogloss:0.04349
[138]	validate-mlogloss:0.03461	train-mlogloss:0.04297
[139]	validate-mlogloss:0.03413	train-mlogloss:0.04256
[140]	validate-mlogloss:0.03354	train-mlogloss:0.04199
[141]	validate-mlogloss:0.03314	train-mlogloss:0.04170
[142]	validate-mlogloss:0.03267	train-mlogloss:0.04136
[143]	validate-mlogloss:0.03228	train-mlogloss:0.04089
[144]	validate-mlogloss:0.03176	train-mlogloss:0.04053
[145]	validate-mlogloss:0.03133	train-mlogloss:0.04022
[146]	validate-mlogloss:0.03107	train-mlogloss:0.03991
[147]	validate-mlogloss:0.03060	train-mlogloss:0.03945
[148]	validate-mlogloss:0.03016	train-mlogloss:0.03926
[149]	validate-mlogloss:0.02988	train-mlogloss:0.03907
[150]	validate-mlogloss:0.02961	train-mlogloss:0.03878
[151]	validate-mlogloss:0.02940	train-mlogloss:0.03858
[152]	validate-mlogloss:0.02934	train-mlogloss:0.03825
[153]	validate-mlogloss:0.02906	train-mlogloss:0.03803
[154]	validate-mlogloss:0.02880	train-mlogloss:0.03775
[155]	validate-mlogloss:0.02858	train-mlogloss:0.03752
[156]	validate-mlogloss:0.02844	train-mlogloss:0.03720
[157]	validate-mlogloss:0.02814	train-mlogloss:0.03704
[158]	validate-mlogloss:0.02799	train-mlogloss:0.03669
[159]	validate-mlogloss:0.02776	train-mlogloss:0.03638
[160]	validate-mlogloss:0.02761	train-mlogloss:0.03610
[161]	validate-mlogloss:0.02751	train-mlogloss:0.03588
[162]	validate-mlogloss:0.02735	train-mlogloss:0.03558
[163]	validate-mlogloss:0.02711	train-mlogloss:0.03534
[164]	validate-mlogloss:0.02705	train-mlogloss:0.03521
[165]	validate-mlogloss:0.02684	train-mlogloss:0.03499
[166]	validate-mlogloss:0.02664	train-mlogloss:0.03478
[167]	validate-mlogloss:0.02648	train-mlogloss:0.03455
[168]	validate-mlogloss:0.02632	train-mlogloss:0.03437
[169]	validate-mlogloss:0.02626	train-mlogloss:0.03409
[170]	validate-mlogloss:0.02609	train-mlogloss:0.03382
[171]	validate-mlogloss:0.02601	train-mlogloss:0.03364
[172]	validate-mlogloss:0.02567	train-mlogloss:0.03350
[173]	validate-mlogloss:0.02550	train-mlogloss:0.03332
[174]	validate-mlogloss:0.02545	train-mlogloss:0.03315
[175]	validate-mlogloss:0.02520	train-mlogloss:0.03290
[176]	validate-mlogloss:0.02510	train-mlogloss:0.03271
[177]	validate-mlogloss:0.02493	train-mlogloss:0.03252
[178]	validate-mlogloss:0.02479	train-mlogloss:0.03235
[179]	validate-mlogloss:0.02472	train-mlogloss:0.03213
[180]	validate-mlogloss:0.02467	train-mlogloss:0.03188
[181]	validate-mlogloss:0.02457	train-mlogloss:0.03166
[182]	validate-mlogloss:0.02441	train-mlogloss:0.03152
[183]	validate-mlogloss:0.02426	train-mlogloss:0.03145
