[0]	validate-mlogloss:1.33441	train-mlogloss:1.33056
[1]	validate-mlogloss:1.28436	train-mlogloss:1.27867
[2]	validate-mlogloss:1.23721	train-mlogloss:1.22935
[3]	validate-mlogloss:1.19331	train-mlogloss:1.18312
[4]	validate-mlogloss:1.15067	train-mlogloss:1.13923
[5]	validate-mlogloss:1.11071	train-mlogloss:1.09772
[6]	validate-mlogloss:1.07368	train-mlogloss:1.05861
[7]	validate-mlogloss:1.03837	train-mlogloss:1.02108
[8]	validate-mlogloss:1.00434	train-mlogloss:0.98511
[9]	validate-mlogloss:0.97154	train-mlogloss:0.95129
[10]	validate-mlogloss:0.94105	train-mlogloss:0.91859
[11]	validate-mlogloss:0.91305	train-mlogloss:0.88792
[12]	validate-mlogloss:0.88488	train-mlogloss:0.85823
[13]	validate-mlogloss:0.85796	train-mlogloss:0.82951
[14]	validate-mlogloss:0.83260	train-mlogloss:0.80211
[15]	validate-mlogloss:0.80820	train-mlogloss:0.77615
[16]	validate-mlogloss:0.78386	train-mlogloss:0.75106
[17]	validate-mlogloss:0.76033	train-mlogloss:0.72697
[18]	validate-mlogloss:0.73913	train-mlogloss:0.70396
[19]	validate-mlogloss:0.71727	train-mlogloss:0.68159
[20]	validate-mlogloss:0.69669	train-mlogloss:0.66015
[21]	validate-mlogloss:0.67699	train-mlogloss:0.63944
[22]	validate-mlogloss:0.65827	train-mlogloss:0.61965
[23]	validate-mlogloss:0.63987	train-mlogloss:0.60081
[24]	validate-mlogloss:0.62207	train-mlogloss:0.58231
[25]	validate-mlogloss:0.60553	train-mlogloss:0.56464
[26]	validate-mlogloss:0.58839	train-mlogloss:0.54742
[27]	validate-mlogloss:0.57242	train-mlogloss:0.53098
[28]	validate-mlogloss:0.55798	train-mlogloss:0.51509
[29]	validate-mlogloss:0.54212	train-mlogloss:0.49953
[30]	validate-mlogloss:0.52800	train-mlogloss:0.48456
[31]	validate-mlogloss:0.51480	train-mlogloss:0.47034
[32]	validate-mlogloss:0.50120	train-mlogloss:0.45641
[33]	validate-mlogloss:0.48865	train-mlogloss:0.44295
[34]	validate-mlogloss:0.47652	train-mlogloss:0.42996
[35]	validate-mlogloss:0.46418	train-mlogloss:0.41753
[36]	validate-mlogloss:0.45234	train-mlogloss:0.40524
[37]	validate-mlogloss:0.44142	train-mlogloss:0.39347
[38]	validate-mlogloss:0.43061	train-mlogloss:0.38224
[39]	validate-mlogloss:0.42074	train-mlogloss:0.37118
[40]	validate-mlogloss:0.41063	train-mlogloss:0.36058
[41]	validate-mlogloss:0.40094	train-mlogloss:0.35021
[42]	validate-mlogloss:0.39151	train-mlogloss:0.34036
[43]	validate-mlogloss:0.38252	train-mlogloss:0.33073
[44]	validate-mlogloss:0.37368	train-mlogloss:0.32131
[45]	validate-mlogloss:0.36485	train-mlogloss:0.31226
[46]	validate-mlogloss:0.35628	train-mlogloss:0.30350
[47]	validate-mlogloss:0.34751	train-mlogloss:0.29499
[48]	validate-mlogloss:0.33938	train-mlogloss:0.28679
[49]	validate-mlogloss:0.33195	train-mlogloss:0.27882
[50]	validate-mlogloss:0.32473	train-mlogloss:0.27122
[51]	validate-mlogloss:0.31807	train-mlogloss:0.26375
[52]	validate-mlogloss:0.31115	train-mlogloss:0.25642
[53]	validate-mlogloss:0.30487	train-mlogloss:0.24944
[54]	validate-mlogloss:0.29859	train-mlogloss:0.24257
[55]	validate-mlogloss:0.29223	train-mlogloss:0.23585
[56]	validate-mlogloss:0.28625	train-mlogloss:0.22942
[57]	validate-mlogloss:0.28047	train-mlogloss:0.22314
[58]	validate-mlogloss:0.27431	train-mlogloss:0.21703
[59]	validate-mlogloss:0.26791	train-mlogloss:0.21104
[60]	validate-mlogloss:0.26291	train-mlogloss:0.20525
[61]	validate-mlogloss:0.25808	train-mlogloss:0.19973
[62]	validate-mlogloss:0.25288	train-mlogloss:0.19431
[63]	validate-mlogloss:0.24806	train-mlogloss:0.18913
[64]	validate-mlogloss:0.24366	train-mlogloss:0.18405
[65]	validate-mlogloss:0.23904	train-mlogloss:0.17913
[66]	validate-mlogloss:0.23455	train-mlogloss:0.17434
[67]	validate-mlogloss:0.23022	train-mlogloss:0.16960
[68]	validate-mlogloss:0.22620	train-mlogloss:0.16514
[69]	validate-mlogloss:0.22228	train-mlogloss:0.16068
[70]	validate-mlogloss:0.21835	train-mlogloss:0.15654
[71]	validate-mlogloss:0.21458	train-mlogloss:0.15242
[72]	validate-mlogloss:0.21137	train-mlogloss:0.14846
[73]	validate-mlogloss:0.20782	train-mlogloss:0.14463
[74]	validate-mlogloss:0.20384	train-mlogloss:0.14088
[75]	validate-mlogloss:0.20059	train-mlogloss:0.13724
[76]	validate-mlogloss:0.19724	train-mlogloss:0.13370
[77]	validate-mlogloss:0.19396	train-mlogloss:0.13021
[78]	validate-mlogloss:0.19065	train-mlogloss:0.12692
[79]	validate-mlogloss:0.18759	train-mlogloss:0.12367
[80]	validate-mlogloss:0.18453	train-mlogloss:0.12047
[81]	validate-mlogloss:0.18133	train-mlogloss:0.11737
[82]	validate-mlogloss:0.17813	train-mlogloss:0.11437
[83]	validate-mlogloss:0.17563	train-mlogloss:0.11153
[84]	validate-mlogloss:0.17256	train-mlogloss:0.10868
[85]	validate-mlogloss:0.17025	train-mlogloss:0.10592
[86]	validate-mlogloss:0.16794	train-mlogloss:0.10322
[87]	validate-mlogloss:0.16535	train-mlogloss:0.10063
[88]	validate-mlogloss:0.16278	train-mlogloss:0.09818
[89]	validate-mlogloss:0.16013	train-mlogloss:0.09569
[90]	validate-mlogloss:0.15771	train-mlogloss:0.09325
[91]	validate-mlogloss:0.15491	train-mlogloss:0.09094
[92]	validate-mlogloss:0.15332	train-mlogloss:0.08868
[93]	validate-mlogloss:0.15147	train-mlogloss:0.08644
[94]	validate-mlogloss:0.14995	train-mlogloss:0.08428
[95]	validate-mlogloss:0.14781	train-mlogloss:0.08224
[96]	validate-mlogloss:0.14642	train-mlogloss:0.08025
[97]	validate-mlogloss:0.14502	train-mlogloss:0.07829
[98]	validate-mlogloss:0.14315	train-mlogloss:0.07646
[99]	validate-mlogloss:0.14172	train-mlogloss:0.07457
[100]	validate-mlogloss:0.14043	train-mlogloss:0.07275
[101]	validate-mlogloss:0.13887	train-mlogloss:0.07095
[102]	validate-mlogloss:0.13753	train-mlogloss:0.06926
[103]	validate-mlogloss:0.13582	train-mlogloss:0.06757
[104]	validate-mlogloss:0.13455	train-mlogloss:0.06591
[105]	validate-mlogloss:0.13338	train-mlogloss:0.06433
[106]	validate-mlogloss:0.13214	train-mlogloss:0.06277
[107]	validate-mlogloss:0.13098	train-mlogloss:0.06134
[108]	validate-mlogloss:0.12974	train-mlogloss:0.05994
[109]	validate-mlogloss:0.12765	train-mlogloss:0.05847
[110]	validate-mlogloss:0.12670	train-mlogloss:0.05717
[111]	validate-mlogloss:0.12521	train-mlogloss:0.05579
[112]	validate-mlogloss:0.12436	train-mlogloss:0.05454
[113]	validate-mlogloss:0.12288	train-mlogloss:0.05327
[114]	validate-mlogloss:0.12183	train-mlogloss:0.05205
[115]	validate-mlogloss:0.12132	train-mlogloss:0.05086
[116]	validate-mlogloss:0.12012	train-mlogloss:0.04968
[117]	validate-mlogloss:0.11951	train-mlogloss:0.04857
[118]	validate-mlogloss:0.11844	train-mlogloss:0.04741
