[0]	validate-mlogloss:1.33438	train-mlogloss:1.33159
[1]	validate-mlogloss:1.28383	train-mlogloss:1.28019
[2]	validate-mlogloss:1.23669	train-mlogloss:1.23187
[3]	validate-mlogloss:1.19139	train-mlogloss:1.18588
[4]	validate-mlogloss:1.14909	train-mlogloss:1.14302
[5]	validate-mlogloss:1.10954	train-mlogloss:1.10160
[6]	validate-mlogloss:1.07303	train-mlogloss:1.06283
[7]	validate-mlogloss:1.03706	train-mlogloss:1.02581
[8]	validate-mlogloss:1.00301	train-mlogloss:0.98990
[9]	validate-mlogloss:0.96974	train-mlogloss:0.95622
[10]	validate-mlogloss:0.93873	train-mlogloss:0.92386
[11]	validate-mlogloss:0.90939	train-mlogloss:0.89306
[12]	validate-mlogloss:0.88074	train-mlogloss:0.86353
[13]	validate-mlogloss:0.85201	train-mlogloss:0.83510
[14]	validate-mlogloss:0.82572	train-mlogloss:0.80786
[15]	validate-mlogloss:0.80020	train-mlogloss:0.78153
[16]	validate-mlogloss:0.77693	train-mlogloss:0.75688
[17]	validate-mlogloss:0.75383	train-mlogloss:0.73257
[18]	validate-mlogloss:0.73230	train-mlogloss:0.70958
[19]	validate-mlogloss:0.71153	train-mlogloss:0.68707
[20]	validate-mlogloss:0.69059	train-mlogloss:0.66529
[21]	validate-mlogloss:0.67019	train-mlogloss:0.64492
[22]	validate-mlogloss:0.65079	train-mlogloss:0.62504
[23]	validate-mlogloss:0.63243	train-mlogloss:0.60571
[24]	validate-mlogloss:0.61522	train-mlogloss:0.58732
[25]	validate-mlogloss:0.59749	train-mlogloss:0.56939
[26]	validate-mlogloss:0.58072	train-mlogloss:0.55219
[27]	validate-mlogloss:0.56510	train-mlogloss:0.53585
[28]	validate-mlogloss:0.54962	train-mlogloss:0.51968
[29]	validate-mlogloss:0.53494	train-mlogloss:0.50400
[30]	validate-mlogloss:0.52115	train-mlogloss:0.48926
[31]	validate-mlogloss:0.50688	train-mlogloss:0.47466
[32]	validate-mlogloss:0.49320	train-mlogloss:0.46062
[33]	validate-mlogloss:0.47982	train-mlogloss:0.44748
[34]	validate-mlogloss:0.46686	train-mlogloss:0.43441
[35]	validate-mlogloss:0.45474	train-mlogloss:0.42187
[36]	validate-mlogloss:0.44219	train-mlogloss:0.40952
[37]	validate-mlogloss:0.43089	train-mlogloss:0.39758
[38]	validate-mlogloss:0.42028	train-mlogloss:0.38624
[39]	validate-mlogloss:0.40983	train-mlogloss:0.37510
[40]	validate-mlogloss:0.39968	train-mlogloss:0.36461
[41]	validate-mlogloss:0.39034	train-mlogloss:0.35428
[42]	validate-mlogloss:0.38100	train-mlogloss:0.34440
[43]	validate-mlogloss:0.37196	train-mlogloss:0.33481
[44]	validate-mlogloss:0.36257	train-mlogloss:0.32543
[45]	validate-mlogloss:0.35327	train-mlogloss:0.31631
[46]	validate-mlogloss:0.34454	train-mlogloss:0.30763
[47]	validate-mlogloss:0.33653	train-mlogloss:0.29926
[48]	validate-mlogloss:0.32889	train-mlogloss:0.29109
[49]	validate-mlogloss:0.32078	train-mlogloss:0.28306
[50]	validate-mlogloss:0.31320	train-mlogloss:0.27536
[51]	validate-mlogloss:0.30631	train-mlogloss:0.26789
[52]	validate-mlogloss:0.29906	train-mlogloss:0.26071
[53]	validate-mlogloss:0.29232	train-mlogloss:0.25353
[54]	validate-mlogloss:0.28630	train-mlogloss:0.24665
[55]	validate-mlogloss:0.27951	train-mlogloss:0.24010
[56]	validate-mlogloss:0.27358	train-mlogloss:0.23368
[57]	validate-mlogloss:0.26754	train-mlogloss:0.22744
[58]	validate-mlogloss:0.26132	train-mlogloss:0.22138
[59]	validate-mlogloss:0.25521	train-mlogloss:0.21544
[60]	validate-mlogloss:0.24924	train-mlogloss:0.20966
[61]	validate-mlogloss:0.24412	train-mlogloss:0.20422
[62]	validate-mlogloss:0.23932	train-mlogloss:0.19888
[63]	validate-mlogloss:0.23431	train-mlogloss:0.19354
[64]	validate-mlogloss:0.22870	train-mlogloss:0.18842
[65]	validate-mlogloss:0.22387	train-mlogloss:0.18352
[66]	validate-mlogloss:0.21910	train-mlogloss:0.17869
[67]	validate-mlogloss:0.21453	train-mlogloss:0.17409
[68]	validate-mlogloss:0.20980	train-mlogloss:0.16961
[69]	validate-mlogloss:0.20566	train-mlogloss:0.16527
[70]	validate-mlogloss:0.20105	train-mlogloss:0.16108
[71]	validate-mlogloss:0.19605	train-mlogloss:0.15686
[72]	validate-mlogloss:0.19273	train-mlogloss:0.15299
[73]	validate-mlogloss:0.18853	train-mlogloss:0.14904
[74]	validate-mlogloss:0.18483	train-mlogloss:0.14537
[75]	validate-mlogloss:0.18142	train-mlogloss:0.14175
[76]	validate-mlogloss:0.17794	train-mlogloss:0.13813
[77]	validate-mlogloss:0.17417	train-mlogloss:0.13474
[78]	validate-mlogloss:0.17121	train-mlogloss:0.13134
[79]	validate-mlogloss:0.16832	train-mlogloss:0.12813
[80]	validate-mlogloss:0.16475	train-mlogloss:0.12483
[81]	validate-mlogloss:0.16160	train-mlogloss:0.12181
[82]	validate-mlogloss:0.15879	train-mlogloss:0.11885
[83]	validate-mlogloss:0.15564	train-mlogloss:0.11579
[84]	validate-mlogloss:0.15293	train-mlogloss:0.11302
[85]	validate-mlogloss:0.14985	train-mlogloss:0.11043
[86]	validate-mlogloss:0.14692	train-mlogloss:0.10776
[87]	validate-mlogloss:0.14385	train-mlogloss:0.10516
[88]	validate-mlogloss:0.14147	train-mlogloss:0.10265
[89]	validate-mlogloss:0.13906	train-mlogloss:0.10023
[90]	validate-mlogloss:0.13676	train-mlogloss:0.09783
[91]	validate-mlogloss:0.13449	train-mlogloss:0.09562
[92]	validate-mlogloss:0.13225	train-mlogloss:0.09333
[93]	validate-mlogloss:0.12988	train-mlogloss:0.09108
[94]	validate-mlogloss:0.12759	train-mlogloss:0.08895
[95]	validate-mlogloss:0.12528	train-mlogloss:0.08687
[96]	validate-mlogloss:0.12378	train-mlogloss:0.08481
[97]	validate-mlogloss:0.12139	train-mlogloss:0.08286
[98]	validate-mlogloss:0.11979	train-mlogloss:0.08096
[99]	validate-mlogloss:0.11822	train-mlogloss:0.07913
[100]	validate-mlogloss:0.11641	train-mlogloss:0.07738
[101]	validate-mlogloss:0.11455	train-mlogloss:0.07556
[102]	validate-mlogloss:0.11270	train-mlogloss:0.07383
[103]	validate-mlogloss:0.11077	train-mlogloss:0.07212
[104]	validate-mlogloss:0.10863	train-mlogloss:0.07052
[105]	validate-mlogloss:0.10655	train-mlogloss:0.06887
[106]	validate-mlogloss:0.10485	train-mlogloss:0.06730
[107]	validate-mlogloss:0.10360	train-mlogloss:0.06575
[108]	validate-mlogloss:0.10195	train-mlogloss:0.06425
[109]	validate-mlogloss:0.10083	train-mlogloss:0.06289
[110]	validate-mlogloss:0.09913	train-mlogloss:0.06148
[111]	validate-mlogloss:0.09742	train-mlogloss:0.06016
[112]	validate-mlogloss:0.09592	train-mlogloss:0.05893
[113]	validate-mlogloss:0.09457	train-mlogloss:0.05767
[114]	validate-mlogloss:0.09364	train-mlogloss:0.05649
[115]	validate-mlogloss:0.09221	train-mlogloss:0.05524
[116]	validate-mlogloss:0.09131	train-mlogloss:0.05404
[117]	validate-mlogloss:0.09019	train-mlogloss:0.05288
[118]	validate-mlogloss:0.08890	train-mlogloss:0.05178
[119]	validate-mlogloss:0.08760	train-mlogloss:0.05068
[120]	validate-mlogloss:0.08616	train-mlogloss:0.04961
[121]	validate-mlogloss:0.08537	train-mlogloss:0.04857
[122]	validate-mlogloss:0.08417	train-mlogloss:0.04761
[123]	validate-mlogloss:0.08305	train-mlogloss:0.04662
[124]	validate-mlogloss:0.08243	train-mlogloss:0.04567
[125]	validate-mlogloss:0.08176	train-mlogloss:0.04477
[126]	validate-mlogloss:0.08043	train-mlogloss:0.04386
[127]	validate-mlogloss:0.07977	train-mlogloss:0.04300
[128]	validate-mlogloss:0.07923	train-mlogloss:0.04214
[129]	validate-mlogloss:0.07860	train-mlogloss:0.04131
[130]	validate-mlogloss:0.07792	train-mlogloss:0.04047
[131]	validate-mlogloss:0.07691	train-mlogloss:0.03964
[132]	validate-mlogloss:0.07637	train-mlogloss:0.03892
[133]	validate-mlogloss:0.07607	train-mlogloss:0.03815
[134]	validate-mlogloss:0.07547	train-mlogloss:0.03747
[135]	validate-mlogloss:0.07511	train-mlogloss:0.03678
[136]	validate-mlogloss:0.07413	train-mlogloss:0.03609
[137]	validate-mlogloss:0.07336	train-mlogloss:0.03540
[138]	validate-mlogloss:0.07317	train-mlogloss:0.03474
[139]	validate-mlogloss:0.07260	train-mlogloss:0.03407
[140]	validate-mlogloss:0.07179	train-mlogloss:0.03341
[141]	validate-mlogloss:0.07142	train-mlogloss:0.03279
[142]	validate-mlogloss:0.07120	train-mlogloss:0.03220
[143]	validate-mlogloss:0.07054	train-mlogloss:0.03161
[144]	validate-mlogloss:0.07062	train-mlogloss:0.03109
[145]	validate-mlogloss:0.06999	train-mlogloss:0.03056
[146]	validate-mlogloss:0.06982	train-mlogloss:0.03004
[147]	validate-mlogloss:0.06959	train-mlogloss:0.02950
[148]	validate-mlogloss:0.06903	train-mlogloss:0.02902
[149]	validate-mlogloss:0.06859	train-mlogloss:0.02851
[150]	validate-mlogloss:0.06816	train-mlogloss:0.02802
[151]	validate-mlogloss:0.06759	train-mlogloss:0.02748
[152]	validate-mlogloss:0.06714	train-mlogloss:0.02703
[153]	validate-mlogloss:0.06668	train-mlogloss:0.02656
[154]	validate-mlogloss:0.06607	train-mlogloss:0.02614
[155]	validate-mlogloss:0.06589	train-mlogloss:0.02574
[156]	validate-mlogloss:0.06544	train-mlogloss:0.02531
[157]	validate-mlogloss:0.06509	train-mlogloss:0.02489
[158]	validate-mlogloss:0.06477	train-mlogloss:0.02448
[159]	validate-mlogloss:0.06415	train-mlogloss:0.02408
[160]	validate-mlogloss:0.06382	train-mlogloss:0.02365
[161]	validate-mlogloss:0.06355	train-mlogloss:0.02328
[162]	validate-mlogloss:0.06352	train-mlogloss:0.02289
[163]	validate-mlogloss:0.06310	train-mlogloss:0.02250
[164]	validate-mlogloss:0.06258	train-mlogloss:0.02219
[165]	validate-mlogloss:0.06253	train-mlogloss:0.02188
[166]	validate-mlogloss:0.06198	train-mlogloss:0.02156
[167]	validate-mlogloss:0.06187	train-mlogloss:0.02125
[168]	validate-mlogloss:0.06155	train-mlogloss:0.02091
[169]	validate-mlogloss:0.06112	train-mlogloss:0.02059
[170]	validate-mlogloss:0.06063	train-mlogloss:0.02028
[171]	validate-mlogloss:0.06011	train-mlogloss:0.01995
[172]	validate-mlogloss:0.05965	train-mlogloss:0.01967
[173]	validate-mlogloss:0.05989	train-mlogloss:0.01940
[174]	validate-mlogloss:0.05972	train-mlogloss:0.01913
[175]	validate-mlogloss:0.05943	train-mlogloss:0.01885
[176]	validate-mlogloss:0.05912	train-mlogloss:0.01856
[177]	validate-mlogloss:0.05916	train-mlogloss:0.01831
[178]	validate-mlogloss:0.05883	train-mlogloss:0.01809
[179]	validate-mlogloss:0.05832	train-mlogloss:0.01787
[180]	validate-mlogloss:0.05831	train-mlogloss:0.01761
[181]	validate-mlogloss:0.05806	train-mlogloss:0.01739
[182]	validate-mlogloss:0.05810	train-mlogloss:0.01716
[183]	validate-mlogloss:0.05779	train-mlogloss:0.01693
[184]	validate-mlogloss:0.05749	train-mlogloss:0.01672
